org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,,,,,,,,,,,,,
Sole Proprietor / Individual,Other:,,,,,,,,,,,,,
Other (please specify):,Administrative support,Yes,Viewing Payment Status,"Finding guidance on PaymentWorks actions,Viewing Payment Status","The person ordering the goods or services,I am unsure who to contact",Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta","Registering for Transcepta,Receiving notifications about invoice errors/rejections","The person ordering the goods or services,Transcepta Support",Other (Please specify):,Other (Please specify):,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,"Contacting PaymentWorks,Supplier Registration","Updating Remittance Details,Finding guidance on PaymentWorks actions,Supplier Registration",PaymentWorks Support,,,,,,,,,
Small Business (per SBA standards),Administrative support,,,,,,,,,,,,,
Small Business (per SBA standards),Other:,,,,,,,,,,,,,
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Non-Profit Organization,Accounts receivable,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,None of the above,"Finding guidance on PaymentWorks actions,Viewing Payment Status",Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections","I am unsure who to contact,Transcepta Support",Payee Onboarding Guide,I have not experienced any difficulties,2 – Somewhat Unclear,No
Non-Profit Organization,Administrative support,Yes,"Supplier Registration,Updating Company Information,Contacting PaymentWorks","Contacting PaymentWorks,Supplier Registration","The person ordering the goods or services,PaymentWorks Support",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Administrative support,Yes,None of the above,"Viewing Payment Status,Supplier Registration,Finding guidance on PaymentWorks actions","Procurement (pohelp@ucsd.edu),I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,,,,,,,,,,,,,
Non-Profit Organization,Other:,Yes,Updating Company Information,"Viewing Payment Status,Supplier Registration,Updating Remittance Details","PaymentWorks Support,Procurement (pohelp@ucsd.edu)",Yes,Other:,None of the Above,Receiving notifications about invoice errors/rejections,Procurement (pohelp@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,I have not experienced any difficulties,3 – Neutral,No
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,5 – Extremely Clear,No
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Executive-level leadership,Yes,None of the above,Viewing Payment Status,Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Other:,Yes,Finding guidance on PaymentWorks actions,Contacting PaymentWorks,PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Web Portal (PO flip and manual creation),"N/A, I've never heard of Transcepta",Receiving notifications about invoice errors/rejections,"Transcepta Portal and Knowledge Base,Other (please specify):",Payee Onboarding Guide,I have not experienced any difficulties,3 – Neutral,No
Non-Profit Organization,Executive-level leadership,Yes,"Viewing Payment Status,Contacting PaymentWorks,Finding guidance on PaymentWorks actions,Updating Remittance Details","Contacting PaymentWorks,Supplier Registration","Procurement (pohelp@ucsd.edu),PaymentWorks Support",,,,,,,,,
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have never utilized these resources or support,4 – Somewhat Clear,No
Sole Proprietor / Individual,Accounts receivable,Yes,Updating Company Information,None of the above,Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.","Procurement (pohelp@ucsd.edu),Accounts Payable (payables@ucsd.edu)",Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Sales,Yes,None of the above,"N/A, I've never heard of PaymentWorks","PaymentWorks Support,The person ordering the goods or services",Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,Receiving notifications about invoice errors/rejections,"Transcepta Portal and Knowledge Base,Other (please specify):",Payee Newsletter,I have never utilized these resources or support,3 – Neutral,Yes
Large Business,Administrative support,Yes,"N/A, I've never heard of PaymentWorks",Supplier Registration,The person ordering the goods or services,Yes,Transcepta - Electronic Data Interchange (EDI),"N/A, I've never heard of Transcepta","Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Transcepta Portal and Knowledge Base,Payee Newsletter,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Receiving notifications about invoice errors/rejections,Registering for Transcepta",Receiving notifications about invoice errors/rejections,"Transcepta Support,I am unsure who to contact",Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,No
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Email,"Viewing invoice submission status.,Finding guidance on Transcepta actions.","Viewing invoice submission status.,Finding guidance on Transcepta actions.","Procurement (pohelp@ucsd.edu),Transcepta Support",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,Yes
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Finding guidance on Transcepta actions.,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","Finding guidance on Transcepta actions.,Viewing invoice submission status.",Transcepta Support,Other (Please specify):,I have never utilized these resources or support,3 – Neutral,Yes
Other (please specify):,Other:,,,,,,,,,,,,,
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,5 – Extremely Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,None of the above,"Contacting PaymentWorks,Supplier Registration","Accounts Payable (payables@ucsd.edu),PaymentWorks Support",,,,,,,,,
Large Business,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,,,,,,,,,
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta,Viewing invoice submission status.",Viewing invoice submission status.,"The person ordering the goods or services,I am unsure who to contact",Other (Please specify):,I have never utilized these resources or support,1 – Extremely Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"Registering for Transcepta,Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Finding guidance on Transcepta actions.,Viewing invoice submission status.",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Sales,Yes,"Finding guidance on PaymentWorks actions,Viewing Payment Status","Updating Company Information,Finding guidance on PaymentWorks actions,Supplier Registration",PaymentWorks Support,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,,,,,,,,,,,,,
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Executive-level leadership,Yes,Updating Company Information,None of the above,"PaymentWorks Support,The person ordering the goods or services",,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,,,,,,,,,,,,,
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta","Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","I am unsure who to contact,Other (please specify):",Payee Newsletter,Other (Please specify):,4 – Somewhat Clear,No
Small Business (per SBA standards),Administrative support,Yes,"Viewing Payment Status,Finding guidance on PaymentWorks actions,Updating Company Information,Updating Remittance Details",None of the above,"PaymentWorks Support,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have not experienced any difficulties,5 – Extremely Clear,Yes
Large Business,Sales,Yes,Updating Company Information,"Viewing Payment Status,Updating Remittance Details,Updating Company Information",Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,4 – Somewhat Clear,No
Small Business (per SBA standards),Executive-level leadership,Yes,"Finding guidance on PaymentWorks actions,Updating Remittance Details,Updating Company Information,Viewing Payment Status",None of the above,I am unsure who to contact,Yes,Transcepta - Email,"Registering for Transcepta,Finding guidance on Transcepta actions.",Viewing invoice submission status.,"I am unsure who to contact,The person ordering the goods or services",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,Other (Please specify):,2 – Somewhat Unclear,Yes
Non-Profit Organization,Executive-level leadership,,,,,,,,,,,,,
Non-Profit Organization,Sales,Yes,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks,Updating Company Information",Updating Remittance Details,"The person ordering the goods or services,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Large Business,Executive-level leadership,Yes,Finding guidance on PaymentWorks actions,"Viewing Payment Status,Contacting PaymentWorks","I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Other (please specify):,Executive-level leadership,Yes,"Updating Remittance Details,Contacting PaymentWorks,Viewing Payment Status,Finding guidance on PaymentWorks actions","Supplier Registration,Viewing Payment Status,Finding guidance on PaymentWorks actions",The person ordering the goods or services,Yes,Transcepta - Electronic Data Interchange (EDI),Viewing invoice submission status.,None of the Above,Transcepta Portal and Knowledge Base,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Updating Company Information,Updating Remittance Details,Contacting PaymentWorks",None of the above,"PaymentWorks' Payee Knowledge Base,Other (please specify):",Yes,N/A - I don’t know how our invoices are submitted in Transcepta,None of the Above,None of the Above,"Procurement (pohelp@ucsd.edu),Transcepta Support",Payee Newsletter,I have never utilized these resources or support,5 – Extremely Clear,Yes
Non-Profit Organization,Sales,Yes,None of the above,None of the above,"The person ordering the goods or services,I am unsure who to contact",Yes,Transcepta - Web Portal (PO flip and manual creation),Receiving notifications about invoice errors/rejections,None of the Above,"Procurement (pohelp@ucsd.edu),Other (please specify):",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,Yes
Small Business (per SBA standards),Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have not experienced any difficulties,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,,,,,,,,,,,,,
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,"Transcepta Support,The person ordering the goods or services",Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Contacting PaymentWorks,Supplier Registration,Updating Company Information,Viewing Payment Status","Updating Company Information,Updating Remittance Details",I am unsure who to contact,Yes,Other:,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.","Registering for Transcepta,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","I am unsure who to contact,Other (please specify):",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Accounts receivable,,,,,,,,,,,,,
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Receiving notifications about invoice errors/rejections,Registering for Transcepta,Finding guidance on Transcepta actions.","Procurement (pohelp@ucsd.edu),I am unsure who to contact",Payee Onboarding Guide,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Sales,Yes,"Updating Company Information,Contacting PaymentWorks,Finding guidance on PaymentWorks actions",Updating Company Information,"Accounts Payable (payables@ucsd.edu),I am unsure who to contact",Yes,Transcepta - Web Portal (PO flip and manual creation),"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","Registering for Transcepta,Receiving notifications about invoice errors/rejections","I am unsure who to contact,Transcepta Support",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
Small Business (per SBA standards),Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Other:,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",None of the Above,Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,Updating Remittance Details,"N/A, I've never heard of PaymentWorks","PaymentWorks Support,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have not experienced any difficulties,4 – Somewhat Clear,No
Large Business,Sales,,,,,,,,,,,,,
Other (please specify):,Other:,Yes,None of the above,Finding guidance on PaymentWorks actions,"PaymentWorks' Payee Knowledge Base,Other (please specify):",,,,,,,,,
Other (please specify):,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,Yes
Small Business (per SBA standards),Executive-level leadership,Yes,"Updating Company Information,Updating Remittance Details",Updating Company Information,Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Large Business,Sales,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,,,,,,,,,,,,,
Large Business,Sales,Yes,Updating Company Information,"N/A, I've never heard of PaymentWorks","Procurement (pohelp@ucsd.edu),Accounts Payable (payables@ucsd.edu)",Yes,Transcepta - Web Portal (PO flip and manual creation),"N/A, I've never heard of Transcepta",None of the Above,Transcepta Support,Other (Please specify):,Other (Please specify):,5 – Extremely Clear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Other (Please specify):,3 – Neutral,No
Large Business,Administrative support,Yes,"Viewing Payment Status,Updating Remittance Details,Supplier Registration",None of the above,Procurement (pohelp@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.","Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",The person ordering the goods or services,Payee Onboarding Guide,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,Finding guidance on PaymentWorks actions,Contacting PaymentWorks,PaymentWorks Support,Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Registering for Transcepta","Viewing invoice submission status.,Finding guidance on Transcepta actions.","I am unsure who to contact,Transcepta Support",I am not aware of any of these resources,I have not experienced any difficulties,3 – Neutral,No
Small Business (per SBA standards),Other:,,,,,,,,,,,,,
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Non-Profit Organization,Sales,Yes,Finding guidance on PaymentWorks actions,"N/A, I've never heard of PaymentWorks",PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
Other (please specify):,Administrative support,Yes,"Contacting PaymentWorks,Viewing Payment Status,Updating Company Information,Supplier Registration","Supplier Registration,Updating Remittance Details",PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Electronic Data Interchange (EDI),Viewing invoice submission status.,"Receiving notifications about invoice errors/rejections,Registering for Transcepta,Finding guidance on Transcepta actions.","I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Sole Proprietor / Individual,Sales,,,,,,,,,,,,,
Non-Profit Organization,Executive-level leadership,Yes,"Updating Company Information,Updating Remittance Details","Contacting PaymentWorks,Updating Company Information","PaymentWorks Support,The person ordering the goods or services",Yes,Other:,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Small Business (per SBA standards),Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Accounts receivable,Yes,Contacting PaymentWorks,Updating Remittance Details,The person ordering the goods or services,Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","I am unsure who to contact,Procurement (pohelp@ucsd.edu)",I am not aware of any of these resources,Other (Please specify):,4 – Somewhat Clear,No
Small Business (per SBA standards),Executive-level leadership,,,,,,,,,,,,,
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Other (please specify):,Accounts receivable,Yes,None of the above,"Updating Company Information,Viewing Payment Status,Finding guidance on PaymentWorks actions",PaymentWorks Support,,,,,,,,,
Other (please specify):,Executive-level leadership,,,,,,,,,,,,,
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Other:,"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",Registering for Transcepta,I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,3 – Neutral,Yes
